GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nart,com.nart.handler,AllExceptionHander,0,8,0,0,0,3,0,2,0,2
nart,com.nart.handler,LoginInterceptor,0,57,0,6,0,21,0,8,0,5
nart,com.nart.handler,WebSocketListener,0,10,0,0,0,4,0,3,0,3
nart,com.nart,TestApplication,8,0,0,0,3,0,2,0,2,0
nart,com.nart.util,AlbumType,0,44,0,0,0,2,0,1,0,1
nart,com.nart.util,ProgressBar,25,147,3,3,9,22,3,5,1,4
nart,com.nart.util,SpringUtil,39,0,2,0,10,0,8,0,7,0
nart,com.nart.util,ErrorCode,9,568,0,0,4,45,2,4,2,4
nart,com.nart.util,UserThreadLocal,0,16,0,0,0,6,0,4,0,4
nart,com.nart.util,RandomContentGenerator,91,174,17,16,23,38,16,12,2,8
nart,com.nart.util,RedisUtil,0,113,0,12,0,26,0,18,0,12
nart,com.nart.util,CopyUtil,101,0,6,0,22,0,7,0,4,0
nart,com.nart.util,FakeDataGenerator,1429,0,66,0,301,0,60,0,27,0
nart,com.nart.util,GsonFormatter,8,9,0,0,2,2,2,2,2,2
nart,com.nart.util,Result,48,208,21,17,0,9,21,14,4,12
nart,com.nart.util,EncryptUtil,3,100,0,2,1,24,1,7,1,6
nart,com.nart.config,WebSocketConfig,0,30,0,2,0,8,0,5,0,4
nart,com.nart.config,MybatisPlusConfig,0,14,0,0,0,4,0,2,0,2
nart,com.nart.config,RedisConfig,0,35,0,0,0,8,0,2,0,2
nart,com.nart.config,WebMVCConfig,0,132,0,0,0,16,0,4,0,4
nart,com.nart.config,ThreadPoolConfig,0,29,0,0,0,10,0,2,0,2
nart,com.nart.vo,CommentVo,32,213,22,16,0,14,18,15,0,14
nart,com.nart.vo,FriendVo,39,270,27,19,0,20,22,18,0,17
nart,com.nart.vo,DateVo,23,303,10,12,2,40,10,20,0,19
nart,com.nart.vo,WSMsg,174,167,53,9,0,8,38,12,7,12
nart,com.nart.vo,UserVo,57,480,36,44,0,33,33,34,0,27
